"Estado","year","gdp","gdp_mp","gdp_smp","gov","deflator","pop","gov_real","govpc","gdppc","gdppc_smp","gdppc_mp"
"Querétaro",2006,427146.948,0,427146.948,5581.438,49.861748748817,1727527,11193.8272123527,6479.68292961712,247259.202316375,247259.202316375,0
"Querétaro",2007,451359.319,0,451359.319,5897.363,52.3072335192,1711320,11274.4693290562,6588.17131165193,263749.222237805,263749.222237805,0
"Querétaro",2008,451687.485,0,451687.485,7358.056,56.551685730235,1755579,13011.2054220624,7411.34715217165,257286.90363692,257286.90363692,0
"Querétaro",2009,430538.218,0,430538.218,6555.201,61.156226785888,1800943,10718.7793369761,5951.75934883896,239062.656619338,239062.656619338,0
"Querétaro",2010,470414.969,0,470414.969,7152.637712,63.457617990894,1848183,11271.519383262,6098.70309556037,254528.34973593,254528.34973593,0
"Querétaro",2011,509818.258,0,509818.258,7916.741884,65.836289448857,1897597,12024.8907559559,6336.90438800016,268665.189710987,268665.189710987,0
"Querétaro",2012,526760.646,0,526760.646,8573.624211,69.316807315177,1948352,12368.7523171928,6348.31504635341,270362.155298427,270362.155298427,0
"Querétaro",2013,522047.708,0,522047.708,9144.181105,72.79603054976,2000445,12561.3732451379,6279.28948065953,260965.789111923,260965.789111923,0
"Querétaro",2014,542149.192,0,542149.192,10017.4139323,75.443204570892,2053019,13278.0864615671,6467.59063679738,264074.123035393,264074.123035393,0
"Querétaro",2015,574578.187,0,574578.187,10963.5731159,80.575123364368,2106729,13606.6476328205,6458.6606216654,272734.740443598,272734.740443598,0
"Querétaro",2016,576734.826,0,576734.826,12460.0145929,88.688069098848,2161784,14049.2568160579,6498.91793817414,266786.517986996,266786.517986996,0
"Querétaro",2017,591415.259,0,591415.259,13831.2094395,94.066705167646,2218292,14703.6184746239,6628.35121554056,266608.390148817,266608.390148817,0
"Querétaro",2018,611367.75,0,611367.75,15172.478918,100,2299633,15172.478918,6597.78274098519,265854.4863463,265854.4863463,0
"Querétaro",2019,609108.252,0,609108.252,15858.589833,103.882391335588,2370079,15265.9075605696,6441.09650377459,256999.134628002,256999.134628002,0
"Querétaro",2020,553613.926,0,553613.926,15768.410704,108.959530580884,2399863,14471.8049168674,6030.26294287107,230685.637471806,230685.637471806,0
"Querétaro",2021,578175.108,0,578175.108,17595.86886,113.803813221236,2451930,15461.5810858582,6305.88193213435,235804.084129645,235804.084129645,0
"Querétaro",2022,589217.592,0,589217.592,20024.191683,121.574939161015,2461932,16470.6573749379,6690.13497323968,239331.38364504,239331.38364504,0
"Querétaro",2023,614127.161,0,614127.161,23614.679743,124.63010409012,2512390,18947.8135442495,7541.74851207396,244439.422621488,244439.422621488,0
"Quintana Roo",2005,220251.865,0,220251.865,3599.014,57.827958460193,1149264,6223.65737237197,5415.34179472425,191646.014318729,191646.014318729,0
"Quintana Roo",2006,234332.557,0,234332.557,4282.392,60.717577540879,1190844,7052.96912927202,5922.66420225657,196778.551178828,196778.551178828,0
"Quintana Roo",2007,253901.251,0,253901.251,4594.106,63.486987309094,1194805,7236.29549096895,6056.46569186516,212504.342549621,212504.342549621,0
"Quintana Roo",2008,266797.067,0,266797.067,5574.377,66.262963453043,1243838,8412.50784678573,6763.34687216963,214495.028291466,214495.028291466,0
"Quintana Roo",2009,243054.262,0,243054.262,5092.522,71.156980164372,1294888,7156.74272325262,5526.92026125241,187702.922569365,187702.922569365,0
"Quintana Roo",2010,255104.161,0,255104.161,5694.882465,73.173869555189,1347684,7782.67228399725,5774.84950774607,189290.784041363,189290.784041363,0
